Stage Number;Stage Name;Tint Set;Conditions;Sky;Time Of Day;Surface;Track
14;Kaihuavaara II;O;heavysnow;heavycloud;morning;dry;new
14;Kaihuavaara II;O;heavysnow;heavycloud;morning;dry;normal
14;Kaihuavaara II;O;heavysnow;heavycloud;morning;dry;worn
15;Mustaselka II;O;hazy;partcloud;morning;dry;new
15;Mustaselka II;O;hazy;partcloud;morning;dry;normal
15;Mustaselka II;O;hazy;partcloud;morning;dry;worn
15;Mustaselka II;O;hazy;heavycloud;morning;dry;new
15;Mustaselka II;O;hazy;heavycloud;morning;dry;normal
15;Mustaselka II;O;hazy;heavycloud;morning;dry;worn
15;Mustaselka II;O;nosnow;lightcloud;morning;dry;new
15;Mustaselka II;O;nosnow;lightcloud;morning;dry;normal
15;Mustaselka II;O;nosnow;lightcloud;morning;dry;worn
15;Mustaselka II;O;nosnow;heavycloud;morning;dry;new
15;Mustaselka II;O;nosnow;heavycloud;morning;dry;normal
15;Mustaselka II;O;nosnow;heavycloud;morning;dry;worn
15;Mustaselka II;O;lightsnow;heavycloud;morning;dry;new
15;Mustaselka II;O;lightsnow;heavycloud;morning;dry;normal
15;Mustaselka II;O;lightsnow;heavycloud;morning;dry;worn
15;Mustaselka II;O;heavysnow;heavycloud;morning;dry;new
15;Mustaselka II;O;heavysnow;heavycloud;morning;dry;normal
15;Mustaselka II;O;heavysnow;heavycloud;morning;dry;worn
16;Sikakama II;O;hazy;partcloud;evening;dry;new
16;Sikakama II;O;hazy;partcloud;evening;dry;normal
16;Sikakama II;O;hazy;partcloud;evening;dry;worn
16;Sikakama II;O;hazy;heavycloud;evening;dry;new
16;Sikakama II;O;hazy;heavycloud;evening;dry;normal
16;Sikakama II;O;hazy;heavycloud;evening;dry;worn
16;Sikakama II;O;nosnow;lightcloud;evening;dry;new
16;Sikakama II;O;nosnow;lightcloud;evening;dry;normal
16;Sikakama II;O;nosnow;lightcloud;evening;dry;worn
16;Sikakama II;O;nosnow;heavycloud;evening;dry;new
16;Sikakama II;O;nosnow;heavycloud;evening;dry;normal
16;Sikakama II;O;nosnow;heavycloud;evening;dry;worn
16;Sikakama II;O;lightsnow;heavycloud;evening;dry;new
16;Sikakama II;O;lightsnow;heavycloud;evening;dry;normal
16;Sikakama II;O;lightsnow;heavycloud;evening;dry;worn
16;Sikakama II;O;heavysnow;heavycloud;evening;dry;new
16;Sikakama II;O;heavysnow;heavycloud;evening;dry;normal
16;Sikakama II;O;heavysnow;heavycloud;evening;dry;worn
17;Autiovaara II;O;hazy;partcloud;evening;dry;new
17;Autiovaara II;O;hazy;partcloud;evening;dry;normal
17;Autiovaara II;O;hazy;partcloud;evening;dry;worn
17;Autiovaara II;O;hazy;heavycloud;evening;dry;new
17;Autiovaara II;O;hazy;heavycloud;evening;dry;normal
17;Autiovaara II;O;hazy;heavycloud;evening;dry;worn
17;Autiovaara II;O;nosnow;lightcloud;evening;dry;new
17;Autiovaara II;O;nosnow;lightcloud;evening;dry;normal
17;Autiovaara II;O;nosnow;lightcloud;evening;dry;worn
17;Autiovaara II;O;nosnow;heavycloud;evening;dry;new
17;Autiovaara II;O;nosnow;heavycloud;evening;dry;normal
17;Autiovaara II;O;nosnow;heavycloud;evening;dry;worn
17;Autiovaara II;O;lightsnow;heavycloud;evening;dry;new
17;Autiovaara II;O;lightsnow;heavycloud;evening;dry;normal
17;Autiovaara II;O;lightsnow;heavycloud;evening;dry;worn
17;Autiovaara II;O;heavysnow;heavycloud;evening;dry;new
17;Autiovaara II;O;heavysnow;heavycloud;evening;dry;normal
17;Autiovaara II;O;heavysnow;heavycloud;evening;dry;worn
20;Harwood Forest;N;crisp;clear;noon;dry;new
20;Harwood Forest;N;crisp;clear;noon;dry;normal
20;Harwood Forest;N;crisp;clear;noon;dry;worn
20;Harwood Forest;N;crisp;clear;noon;damp;new
20;Harwood Forest;N;crisp;clear;noon;damp;normal
20;Harwood Forest;N;crisp;clear;noon;damp;worn
20;Harwood Forest;N;crisp;clear;noon;wet;new
20;Harwood Forest;N;crisp;clear;noon;wet;normal
20;Harwood Forest;N;crisp;clear;noon;wet;worn
20;Harwood Forest;N;crisp;partcloud;noon;dry;new
20;Harwood Forest;N;crisp;partcloud;noon;dry;normal
20;Harwood Forest;N;crisp;partcloud;noon;dry;worn
20;Harwood Forest;N;crisp;partcloud;noon;damp;new
20;Harwood Forest;N;crisp;partcloud;noon;damp;normal
20;Harwood Forest;N;crisp;partcloud;noon;damp;worn
20;Harwood Forest;N;crisp;partcloud;noon;wet;new
20;Harwood Forest;N;crisp;partcloud;noon;wet;normal
20;Harwood Forest;N;crisp;partcloud;noon;wet;worn
20;Harwood Forest;N;hazy;clear;noon;dry;new
20;Harwood Forest;N;hazy;clear;noon;dry;normal
20;Harwood Forest;N;hazy;clear;noon;dry;worn
20;Harwood Forest;N;hazy;clear;noon;damp;new
20;Harwood Forest;N;hazy;clear;noon;damp;normal
20;Harwood Forest;N;hazy;clear;noon;damp;worn
20;Harwood Forest;N;hazy;clear;noon;wet;new
20;Harwood Forest;N;hazy;clear;noon;wet;normal
20;Harwood Forest;N;hazy;clear;noon;wet;worn
20;Harwood Forest;O;hazy;heavycloud;noon;dry;new
20;Harwood Forest;O;hazy;heavycloud;noon;dry;normal
20;Harwood Forest;O;hazy;heavycloud;noon;dry;worn
20;Harwood Forest;O;hazy;heavycloud;noon;damp;new
20;Harwood Forest;O;hazy;heavycloud;noon;damp;normal
20;Harwood Forest;O;hazy;heavycloud;noon;damp;worn
20;Harwood Forest;O;hazy;heavycloud;noon;wet;new
20;Harwood Forest;O;hazy;heavycloud;noon;wet;normal
20;Harwood Forest;O;hazy;heavycloud;noon;wet;worn
20;Harwood Forest;O;norain;lightcloud;noon;dry;new
20;Harwood Forest;O;norain;lightcloud;noon;dry;normal
20;Harwood Forest;O;norain;lightcloud;noon;dry;worn
20;Harwood Forest;O;norain;lightcloud;noon;damp;new
20;Harwood Forest;O;norain;lightcloud;noon;damp;normal
20;Harwood Forest;O;norain;lightcloud;noon;damp;worn
20;Harwood Forest;O;norain;lightcloud;noon;wet;new
20;Harwood Forest;O;norain;lightcloud;noon;wet;normal
20;Harwood Forest;O;norain;lightcloud;noon;wet;worn
20;Harwood Forest;O;lightrain;heavycloud;noon;dry;new
20;Harwood Forest;O;lightrain;heavycloud;noon;dry;normal
20;Harwood Forest;O;lightrain;heavycloud;noon;dry;worn
20;Harwood Forest;O;lightrain;heavycloud;noon;damp;new
20;Harwood Forest;O;lightrain;heavycloud;noon;damp;normal
20;Harwood Forest;O;lightrain;heavycloud;noon;damp;worn
20;Harwood Forest;O;lightrain;heavycloud;noon;wet;new
20;Harwood Forest;O;lightrain;heavycloud;noon;wet;normal
20;Harwood Forest;O;lightrain;heavycloud;noon;wet;worn
20;Harwood Forest;O;heavyrain;heavycloud;noon;dry;new
20;Harwood Forest;O;heavyrain;heavycloud;noon;dry;normal
20;Harwood Forest;O;heavyrain;heavycloud;noon;dry;worn
20;Harwood Forest;O;heavyrain;heavycloud;noon;damp;new
20;Harwood Forest;O;heavyrain;heavycloud;noon;damp;normal
20;Harwood Forest;O;heavyrain;heavycloud;noon;damp;worn
20;Harwood Forest;O;heavyrain;heavycloud;noon;wet;new
20;Harwood Forest;O;heavyrain;heavycloud;noon;wet;normal
20;Harwood Forest;O;heavyrain;heavycloud;noon;wet;worn
20;Harwood Forest;O;lightfog;heavycloud;noon;dry;new
20;Harwood Forest;O;lightfog;heavycloud;noon;dry;normal
20;Harwood Forest;O;lightfog;heavycloud;noon;dry;worn
20;Harwood Forest;O;lightfog;heavycloud;noon;damp;new
20;Harwood Forest;O;lightfog;heavycloud;noon;damp;normal
20;Harwood Forest;O;lightfog;heavycloud;noon;damp;worn
20;Harwood Forest;O;lightfog;heavycloud;noon;wet;new
20;Harwood Forest;O;lightfog;heavycloud;noon;wet;normal
20;Harwood Forest;O;lightfog;heavycloud;noon;wet;worn
20;Harwood Forest;O;heavyfog;heavycloud;noon;dry;new
20;Harwood Forest;O;heavyfog;heavycloud;noon;dry;normal
20;Harwood Forest;O;heavyfog;heavycloud;noon;dry;worn
20;Harwood Forest;O;heavyfog;heavycloud;noon;damp;new
20;Harwood Forest;O;heavyfog;heavycloud;noon;damp;normal
20;Harwood Forest;O;heavyfog;heavycloud;noon;damp;worn
20;Harwood Forest;O;heavyfog;heavycloud;noon;wet;new
20;Harwood Forest;O;heavyfog;heavycloud;noon;wet;normal
20;Harwood Forest;O;heavyfog;heavycloud;noon;wet;worn
21;Falstone;O;hazy;heavycloud;morning;dry;new
21;Falstone;O;hazy;heavycloud;morning;dry;normal
21;Falstone;O;hazy;heavycloud;morning;dry;worn
21;Falstone;O;hazy;heavycloud;morning;damp;new
21;Falstone;O;hazy;heavycloud;morning;damp;normal
21;Falstone;O;hazy;heavycloud;morning;damp;worn
21;Falstone;O;hazy;heavycloud;morning;wet;new
21;Falstone;O;hazy;heavycloud;morning;wet;normal
21;Falstone;O;hazy;heavycloud;morning;wet;worn
21;Falstone;O;norain;lightcloud;morning;dry;new
21;Falstone;O;norain;lightcloud;morning;dry;normal
21;Falstone;O;norain;lightcloud;morning;dry;worn
21;Falstone;O;norain;lightcloud;morning;damp;new
21;Falstone;O;norain;lightcloud;morning;damp;normal
21;Falstone;O;norain;lightcloud;morning;damp;worn
21;Falstone;O;norain;lightcloud;morning;wet;new
21;Falstone;O;norain;lightcloud;morning;wet;normal
21;Falstone;O;norain;lightcloud;morning;wet;worn
21;Falstone;O;norain;lightcloud;noon;dry;new
21;Falstone;O;norain;lightcloud;noon;dry;normal
21;Falstone;O;norain;lightcloud;noon;dry;worn
21;Falstone;O;norain;lightcloud;noon;damp;new
21;Falstone;O;norain;lightcloud;noon;damp;normal
21;Falstone;O;norain;lightcloud;noon;damp;worn
21;Falstone;O;norain;lightcloud;noon;wet;new
21;Falstone;O;norain;lightcloud;noon;wet;normal
21;Falstone;O;norain;lightcloud;noon;wet;worn
21;Falstone;O;norain;lightcloud;evening;dry;new
21;Falstone;O;norain;lightcloud;evening;dry;normal
21;Falstone;O;norain;lightcloud;evening;dry;worn
21;Falstone;O;norain;lightcloud;evening;damp;new
21;Falstone;O;norain;lightcloud;evening;damp;normal
21;Falstone;O;norain;lightcloud;evening;damp;worn
21;Falstone;O;norain;lightcloud;evening;wet;new
21;Falstone;O;norain;lightcloud;evening;wet;normal
21;Falstone;O;norain;lightcloud;evening;wet;worn
21;Falstone;O;lightrain;heavycloud;morning;dry;new
21;Falstone;O;lightrain;heavycloud;morning;dry;normal
21;Falstone;O;lightrain;heavycloud;morning;dry;worn
21;Falstone;O;lightrain;heavycloud;morning;damp;new
21;Falstone;O;lightrain;heavycloud;morning;damp;normal
21;Falstone;O;lightrain;heavycloud;morning;damp;worn
21;Falstone;O;lightrain;heavycloud;morning;wet;new
21;Falstone;O;lightrain;heavycloud;morning;wet;normal
21;Falstone;O;lightrain;heavycloud;morning;wet;worn
21;Falstone;O;lightrain;heavycloud;noon;dry;new
21;Falstone;O;lightrain;heavycloud;noon;dry;normal
21;Falstone;O;lightrain;heavycloud;noon;dry;worn
21;Falstone;O;lightrain;heavycloud;noon;damp;new
21;Falstone;O;lightrain;heavycloud;noon;damp;normal
21;Falstone;O;lightrain;heavycloud;noon;damp;worn
21;Falstone;O;lightrain;heavycloud;noon;wet;new
21;Falstone;O;lightrain;heavycloud;noon;wet;normal
21;Falstone;O;lightrain;heavycloud;noon;wet;worn
21;Falstone;O;lightrain;heavycloud;evening;dry;new
21;Falstone;O;lightrain;heavycloud;evening;dry;normal
21;Falstone;O;lightrain;heavycloud;evening;dry;worn
21;Falstone;O;lightrain;heavycloud;evening;damp;new
21;Falstone;O;lightrain;heavycloud;evening;damp;normal
21;Falstone;O;lightrain;heavycloud;evening;damp;worn
21;Falstone;O;lightrain;heavycloud;evening;wet;new
21;Falstone;O;lightrain;heavycloud;evening;wet;normal
21;Falstone;O;lightrain;heavycloud;evening;wet;worn
21;Falstone;O;heavyrain;heavycloud;morning;dry;new
21;Falstone;O;heavyrain;heavycloud;morning;dry;normal
21;Falstone;O;heavyrain;heavycloud;morning;dry;worn
21;Falstone;O;heavyrain;heavycloud;morning;damp;new
21;Falstone;O;heavyrain;heavycloud;morning;damp;normal
21;Falstone;O;heavyrain;heavycloud;morning;damp;worn
21;Falstone;O;heavyrain;heavycloud;morning;wet;new
21;Falstone;O;heavyrain;heavycloud;morning;wet;normal
21;Falstone;O;heavyrain;heavycloud;morning;wet;worn
21;Falstone;O;heavyrain;heavycloud;noon;dry;new
21;Falstone;O;heavyrain;heavycloud;noon;dry;normal
21;Falstone;O;heavyrain;heavycloud;noon;dry;worn
21;Falstone;O;heavyrain;heavycloud;noon;damp;new
21;Falstone;O;heavyrain;heavycloud;noon;damp;normal
21;Falstone;O;heavyrain;heavycloud;noon;damp;worn
21;Falstone;O;heavyrain;heavycloud;noon;wet;new
21;Falstone;O;heavyrain;heavycloud;noon;wet;normal
21;Falstone;O;heavyrain;heavycloud;noon;wet;worn
21;Falstone;O;heavyrain;heavycloud;evening;dry;new
21;Falstone;O;heavyrain;heavycloud;evening;dry;normal
21;Falstone;O;heavyrain;heavycloud;evening;dry;worn
21;Falstone;O;heavyrain;heavycloud;evening;damp;new
21;Falstone;O;heavyrain;heavycloud;evening;damp;normal
21;Falstone;O;heavyrain;heavycloud;evening;damp;worn
21;Falstone;O;heavyrain;heavycloud;evening;wet;new
21;Falstone;O;heavyrain;heavycloud;evening;wet;normal
21;Falstone;O;heavyrain;heavycloud;evening;wet;worn
21;Falstone;O;lightfog;heavycloud;morning;dry;new
21;Falstone;O;lightfog;heavycloud;morning;dry;normal
21;Falstone;O;lightfog;heavycloud;morning;dry;worn
21;Falstone;O;lightfog;heavycloud;morning;damp;new
21;Falstone;O;lightfog;heavycloud;morning;damp;normal
21;Falstone;O;lightfog;heavycloud;morning;damp;worn
21;Falstone;O;lightfog;heavycloud;morning;wet;new
21;Falstone;O;lightfog;heavycloud;morning;wet;normal
21;Falstone;O;lightfog;heavycloud;morning;wet;worn
21;Falstone;O;lightfog;heavycloud;noon;dry;new
21;Falstone;O;lightfog;heavycloud;noon;dry;normal
21;Falstone;O;lightfog;heavycloud;noon;dry;worn
21;Falstone;O;lightfog;heavycloud;noon;damp;new
21;Falstone;O;lightfog;heavycloud;noon;damp;normal
21;Falstone;O;lightfog;heavycloud;noon;damp;worn
21;Falstone;O;lightfog;heavycloud;noon;wet;new
21;Falstone;O;lightfog;heavycloud;noon;wet;normal
21;Falstone;O;lightfog;heavycloud;noon;wet;worn
21;Falstone;O;lightfog;heavycloud;evening;dry;new
21;Falstone;O;lightfog;heavycloud;evening;dry;normal
21;Falstone;O;lightfog;heavycloud;evening;dry;worn
21;Falstone;O;lightfog;heavycloud;evening;damp;new
21;Falstone;O;lightfog;heavycloud;evening;damp;normal
21;Falstone;O;lightfog;heavycloud;evening;damp;worn
21;Falstone;O;lightfog;heavycloud;evening;wet;new
21;Falstone;O;lightfog;heavycloud;evening;wet;normal
21;Falstone;O;lightfog;heavycloud;evening;wet;worn
21;Falstone;O;heavyfog;heavycloud;morning;dry;new
21;Falstone;O;heavyfog;heavycloud;morning;dry;normal
21;Falstone;O;heavyfog;heavycloud;morning;dry;worn
21;Falstone;O;heavyfog;heavycloud;morning;damp;new
21;Falstone;O;heavyfog;heavycloud;morning;damp;normal
21;Falstone;O;heavyfog;heavycloud;morning;damp;worn
21;Falstone;O;heavyfog;heavycloud;morning;wet;new
21;Falstone;O;heavyfog;heavycloud;morning;wet;normal
21;Falstone;O;heavyfog;heavycloud;morning;wet;worn
21;Falstone;O;heavyfog;heavycloud;noon;dry;new
21;Falstone;O;heavyfog;heavycloud;noon;dry;normal
21;Falstone;O;heavyfog;heavycloud;noon;dry;worn
21;Falstone;O;heavyfog;heavycloud;noon;damp;new
21;Falstone;O;heavyfog;heavycloud;noon;damp;normal
21;Falstone;O;heavyfog;heavycloud;noon;damp;worn
21;Falstone;O;heavyfog;heavycloud;noon;wet;new
21;Falstone;O;heavyfog;heavycloud;noon;wet;normal
21;Falstone;O;heavyfog;heavycloud;noon;wet;worn
21;Falstone;O;heavyfog;heavycloud;evening;dry;new
21;Falstone;O;heavyfog;heavycloud;evening;dry;normal
21;Falstone;O;heavyfog;heavycloud;evening;dry;worn
21;Falstone;O;heavyfog;heavycloud;evening;damp;new
21;Falstone;O;heavyfog;heavycloud;evening;damp;normal
21;Falstone;O;heavyfog;heavycloud;evening;damp;worn
21;Falstone;O;heavyfog;heavycloud;evening;wet;new
21;Falstone;O;heavyfog;heavycloud;evening;wet;normal
21;Falstone;O;heavyfog;heavycloud;evening;wet;worn
22;Chirdonhead;N;crisp;clear;noon;dry;new
22;Chirdonhead;N;crisp;clear;noon;dry;normal
22;Chirdonhead;N;crisp;clear;noon;dry;worn
22;Chirdonhead;N;crisp;clear;noon;damp;new
22;Chirdonhead;N;crisp;clear;noon;damp;normal
22;Chirdonhead;N;crisp;clear;noon;damp;worn
22;Chirdonhead;N;crisp;clear;noon;wet;new
22;Chirdonhead;N;crisp;clear;noon;wet;normal
22;Chirdonhead;N;crisp;clear;noon;wet;worn
22;Chirdonhead;N;crisp;partcloud;noon;dry;new
22;Chirdonhead;N;crisp;partcloud;noon;dry;normal
22;Chirdonhead;N;crisp;partcloud;noon;dry;worn
22;Chirdonhead;N;crisp;partcloud;noon;damp;new
22;Chirdonhead;N;crisp;partcloud;noon;damp;normal
22;Chirdonhead;N;crisp;partcloud;noon;damp;worn
22;Chirdonhead;N;crisp;partcloud;noon;wet;new
22;Chirdonhead;N;crisp;partcloud;noon;wet;normal
22;Chirdonhead;N;crisp;partcloud;noon;wet;worn
22;Chirdonhead;N;hazy;clear;noon;dry;new
22;Chirdonhead;N;hazy;clear;noon;dry;normal
22;Chirdonhead;N;hazy;clear;noon;dry;worn
22;Chirdonhead;N;hazy;clear;noon;damp;new
22;Chirdonhead;N;hazy;clear;noon;damp;normal
22;Chirdonhead;N;hazy;clear;noon;damp;worn
22;Chirdonhead;N;hazy;clear;noon;wet;new
22;Chirdonhead;N;hazy;clear;noon;wet;normal
22;Chirdonhead;N;hazy;clear;noon;wet;worn
22;Chirdonhead;O;hazy;heavycloud;noon;dry;new
22;Chirdonhead;O;hazy;heavycloud;noon;dry;normal
22;Chirdonhead;O;hazy;heavycloud;noon;dry;worn
22;Chirdonhead;O;hazy;heavycloud;noon;damp;new
22;Chirdonhead;O;hazy;heavycloud;noon;damp;normal
22;Chirdonhead;O;hazy;heavycloud;noon;damp;worn
22;Chirdonhead;O;hazy;heavycloud;noon;wet;new
22;Chirdonhead;O;hazy;heavycloud;noon;wet;normal
22;Chirdonhead;O;hazy;heavycloud;noon;wet;worn
22;Chirdonhead;O;norain;lightcloud;noon;dry;new
22;Chirdonhead;O;norain;lightcloud;noon;dry;normal
22;Chirdonhead;O;norain;lightcloud;noon;dry;worn
22;Chirdonhead;O;norain;lightcloud;noon;damp;new
22;Chirdonhead;O;norain;lightcloud;noon;damp;normal
22;Chirdonhead;O;norain;lightcloud;noon;damp;worn
22;Chirdonhead;O;norain;lightcloud;noon;wet;new
22;Chirdonhead;O;norain;lightcloud;noon;wet;normal
22;Chirdonhead;O;norain;lightcloud;noon;wet;worn
22;Chirdonhead;O;lightrain;heavycloud;noon;dry;new
22;Chirdonhead;O;lightrain;heavycloud;noon;dry;normal
22;Chirdonhead;O;lightrain;heavycloud;noon;dry;worn
22;Chirdonhead;O;lightrain;heavycloud;noon;damp;new
22;Chirdonhead;O;lightrain;heavycloud;noon;damp;normal
22;Chirdonhead;O;lightrain;heavycloud;noon;damp;worn
22;Chirdonhead;O;lightrain;heavycloud;noon;wet;new
22;Chirdonhead;O;lightrain;heavycloud;noon;wet;normal
22;Chirdonhead;O;lightrain;heavycloud;noon;wet;worn
22;Chirdonhead;O;heavyrain;heavycloud;noon;dry;new
22;Chirdonhead;O;heavyrain;heavycloud;noon;dry;normal
22;Chirdonhead;O;heavyrain;heavycloud;noon;dry;worn
22;Chirdonhead;O;heavyrain;heavycloud;noon;damp;new
22;Chirdonhead;O;heavyrain;heavycloud;noon;damp;normal
22;Chirdonhead;O;heavyrain;heavycloud;noon;damp;worn
22;Chirdonhead;O;heavyrain;heavycloud;noon;wet;new
22;Chirdonhead;O;heavyrain;heavycloud;noon;wet;normal
22;Chirdonhead;O;heavyrain;heavycloud;noon;wet;worn
22;Chirdonhead;O;lightfog;heavycloud;noon;dry;new
22;Chirdonhead;O;lightfog;heavycloud;noon;dry;normal
22;Chirdonhead;O;lightfog;heavycloud;noon;dry;worn
22;Chirdonhead;O;lightfog;heavycloud;noon;damp;new
22;Chirdonhead;O;lightfog;heavycloud;noon;damp;normal
22;Chirdonhead;O;lightfog;heavycloud;noon;damp;worn
22;Chirdonhead;O;lightfog;heavycloud;noon;wet;new
22;Chirdonhead;O;lightfog;heavycloud;noon;wet;normal
22;Chirdonhead;O;lightfog;heavycloud;noon;wet;worn
22;Chirdonhead;O;heavyfog;heavycloud;noon;dry;new
22;Chirdonhead;O;heavyfog;heavycloud;noon;dry;normal
22;Chirdonhead;O;heavyfog;heavycloud;noon;dry;worn
22;Chirdonhead;O;heavyfog;heavycloud;noon;damp;new
22;Chirdonhead;O;heavyfog;heavycloud;noon;damp;normal
22;Chirdonhead;O;heavyfog;heavycloud;noon;damp;worn
22;Chirdonhead;O;heavyfog;heavycloud;noon;wet;new
22;Chirdonhead;O;heavyfog;heavycloud;noon;wet;normal
22;Chirdonhead;O;heavyfog;heavycloud;noon;wet;worn
23;Shepherds Shield;E;crisp;clear;evening;dry;new
23;Shepherds Shield;E;crisp;clear;evening;dry;normal
23;Shepherds Shield;E;crisp;clear;evening;dry;worn
23;Shepherds Shield;E;crisp;clear;evening;damp;new
23;Shepherds Shield;E;crisp;clear;evening;damp;normal
23;Shepherds Shield;E;crisp;clear;evening;damp;worn
23;Shepherds Shield;E;crisp;clear;evening;wet;new
23;Shepherds Shield;E;crisp;clear;evening;wet;normal
23;Shepherds Shield;E;crisp;clear;evening;wet;worn
23;Shepherds Shield;E;crisp;partcloud;evening;dry;new
23;Shepherds Shield;E;crisp;partcloud;evening;dry;normal
23;Shepherds Shield;E;crisp;partcloud;evening;dry;worn
